ABICode,ProductClass,Manufacturer,Model,Trim,FullDescription,EngineCapacity,EngineSize,StartYear,EndYear,NumberOfDoors,BodyShape,FuelType,Transmission,LiabilityCategory,LCVBody,GrossWeight,MaxValue,SecurityDeviceCategory,GreyImport,LiabilitySubCategory,Status,EffectiveDate,BodyStyle,EngineDescription,ShortDescription,SequenceNumber
80010000,BI,Ajs,14 Csr,Unknown,Ajs                 14 Csr                                   Unknown                        248CC Petrol,248CC,248,1962,1967,0,Unknown,Petrol,Manual,0,,0,0,,N,,,NULL,Unknown,248CC Petrol,Ajs                 14 Csr,0
80010001,BI,Ajs,16 Ms,Unknown,Ajs                 16 Ms                                    Unknown                        347CC Petrol,347CC,347,1949,1959,0,Unknown,Petrol,Manual,0,,0,0,,N,,,NULL,Unknown,347CC Petrol,Ajs                 16 Ms,0
80010002,BI,Ajs,18 S,Unknown,Ajs                 18 S                                     Unknown                        500CC Petrol,500CC,500,1945,1956,0,Unknown,Petrol,Manual,0,,0,0,,N,,,NULL,Unknown,500CC Petrol,Ajs                 18 S,0
80010003,BI,Ajs,31,Unknown,Ajs                 31                                       Unknown                        646CC Petrol,646CC,646,1958,1967,0,Unknown,Petrol,Manual,0,,0,0,,N,,,NULL,Unknown,646CC Petrol,Ajs                 31,0
80010004,BI,Ajs,31 Csr,Unknown,Ajs                 31 Csr                                   Unknown                        646CC Petrol,646CC,646,1958,1967,0,Unknown,Petrol,Manual,0,,0,0,,N,,,NULL,Unknown,646CC Petrol,Ajs                 31 Csr,0
80010005,BI,Ajs,G3 Ls,Roadster,Ajs                 G3 Ls                                    Roadster                       347CC Petrol,347CC,347,1960,2002,0,Roadster,Petrol,Manual,0,,0,0,,N,,,NULL,Roadster,347CC Petrol,Ajs                 G3 Ls,0
80010006,BI,Ajs,Model 20,Unknown,Ajs                 Model 20                                 Unknown                        500CC Petrol,500CC,500,1948,1962,0,Unknown,Petrol,Manual,0,,0,0,,N,,,NULL,Unknown,500CC Petrol,Ajs                 Model 20,0
80010007,BI,Ajs,DD50E Regal  Raptor,Custom,Ajs                 DD50E Regal  Raptor                      Custom                         49CC Petrol,49CC,49,2003,2016,0,Custom,Petrol,Manual,0,,0,0,,N,,,NULL,Custom,49CC Petrol,Ajs                 DD50E Regal  Raptor,0
80010008,BI,Ajs,DD100E Regal Raptor,Custom,Ajs                 DD100E Regal Raptor                      Custom                         98CC Petrol,98CC,98,2003,2016,0,Custom,Petrol,Manual,0,,0,0,,N,,,NULL,Custom,98CC Petrol,Ajs                 DD100E Regal Raptor,0
80010009,BI,Ajs,125Y Tiger,Trail,Ajs                 125Y Tiger                               Trail                          124CC Petrol,124CC,124,2003,2016,0,Trail,Petrol,Manual,0,,0,0,,N,,,NULL,Trail,124CC Petrol,Ajs                 125Y Tiger,0
80010010,BI,Ajs,Puma JS250,Quad,Ajs                 Puma JS250                               Quad                           229CC Petrol,229CC,229,2003,2016,0,Quad,Petrol,Manual,0,,0,0,,N,,,NULL,Quad,229CC Petrol,Ajs                 Puma JS250,0
